#{"t_start": 1727522183.255062, "env_id": "BipedalWalker-v3"}
r,l,t
-95.729518,276,205.911074
-45.058059,1600,206.376911
-93.89617,249,206.44445
-44.285536,1600,207.165671
-50.630299,1600,207.873122
-96.562989,1600,208.568141
-41.697912,1600,209.26347
-95.911021,274,209.346022
-42.680651,1600,209.786308
-79.633145,1600,210.48943
-92.971596,234,210.553934
-94.693021,262,210.891064
-85.826823,721,211.106895
-95.744488,253,211.180718
-80.897788,1600,211.916202
-50.174822,1600,212.61838
-98.950993,1600,213.077818
-74.836132,1600,213.789786
-93.7914,255,213.860755
-81.610349,1600,214.57509
-71.933189,1600,215.273608
-91.315486,226,215.342292
-103.595907,1600,216.048613
-78.013691,1600,216.516769
-96.286152,283,216.857611
-111.099271,494,217.00876
-60.363993,1600,217.737277
-93.604107,242,217.810959
-96.933178,271,217.893383
-41.774108,1600,218.595219
-98.521743,312,218.691334
-97.185705,276,218.772903
-100.86662,704,218.97462
-86.333681,1600,219.712132
-93.210322,249,219.785123
-98.554638,304,219.873332
-83.806746,1600,220.674247
-79.52197,1600,221.404649
-98.474194,1600,222.166655
-15.93311,1600,222.616673
-77.426851,1600,223.385371
-95.983644,922,223.93929
-71.097018,1600,224.40696
-43.130268,1600,225.154889
-55.988902,1600,225.89603
-97.21385,311,225.984598
-80.399761,1600,226.723985
-90.63161,1600,227.454603
-99.901061,306,227.546696
-171.477759,1600,228.246507
-94.379139,262,228.327433
-119.184891,1335,228.701601
-176.586799,1600,229.4309
-80.115115,1600,230.153577
-96.907184,295,230.238092
-69.214728,1600,230.948908
-117.825825,1285,231.560773
-73.01325,1600,232.012153
-97.947986,297,232.374138
-75.29393,1600,232.832391
-85.5659,1600,233.542611
-84.136328,1600,234.254894
-89.998168,1600,234.974027
-45.080866,1600,235.421289
-78.906097,1600,236.128
-95.348786,1600,236.838436
-95.868839,252,236.910278
-164.849819,1600,237.634776
-84.11665,758,237.847309
-115.63657,1156,238.431851
-95.56101,274,238.511638
-84.127177,798,238.731073
-49.431628,1600,239.438312
-93.599408,234,239.505102
-95.422481,263,239.578811
-43.782887,1600,240.284094
-96.739326,279,240.360431
-92.873214,211,240.418229
-48.561652,1600,241.145257
-94.967469,816,241.631772
-48.22343,1600,242.076226
-55.179314,1600,242.79797
-95.424013,268,242.873218
-123.669228,98,242.901183
-94.671789,248,242.971646
-62.444855,1600,243.686547
-96.324112,290,243.765797
-95.024986,260,243.839289
-63.799033,1600,244.550508
-92.5686,217,244.610886
-91.752194,1600,245.329066
-131.72566,1571,246.031887
6.363482,1600,246.737207
-86.203149,1600,247.190217
-94.015948,259,247.522094
-95.979839,263,247.601561
-80.599363,1600,248.299229
-55.242464,1600,248.751672
-23.540869,1600,249.463308
-83.042118,584,249.620955
-94.562956,267,249.947104
-96.770347,298,250.036093
-46.667232,1600,250.508915
-46.169395,1600,251.230412
-96.32695,293,251.310489
-47.754309,1600,252.039429
-58.192577,1600,252.753238
-20.978751,1600,253.472381
-93.52831,254,253.550999
-96.542401,258,253.62477
-60.519403,1600,254.326151
-76.823857,1600,255.048622
-41.463762,1600,255.547397
-96.68831,283,255.625739
-98.515266,308,255.967344
-68.072869,1600,256.422871
-95.355217,517,256.827095
-78.71884,539,256.993959
-94.783678,265,257.072679
-75.183635,1600,257.788036
-93.61594,250,257.863815
-83.001684,583,258.021992
-82.704357,498,258.159258
