#{"t_start": 1727545860.1016, "env_id": "BipedalWalker-v3"}
r,l,t
-20.072748,1600,696.883942
-11.942698,1600,697.877871
-7.921474,1600,698.88552
-10.023209,1600,699.850368
-5.256474,1600,700.543772
-9.680807,1600,701.543936
-9.660191,1600,702.525256
-5.150758,1600,703.54495
-5.156969,1600,704.200566
-4.441348,1600,705.209505
-6.762579,1600,706.218678
-6.028855,1600,707.208116
-10.994153,1600,708.20307
-9.540953,1600,708.88375
-11.796923,1600,709.938906
-7.565134,1600,710.972158
-114.976712,58,710.996796
-7.844662,1600,711.998727
-68.448716,1600,712.918975
-116.908267,67,712.952557
-118.089547,73,712.988306
-15.628443,1600,713.67478
-120.638731,86,713.704852
-120.894763,90,713.736248
-117.437532,68,713.76018
-117.01137,68,714.11085
-121.924725,99,714.158894
-15.843958,1600,714.867098
-110.906439,51,714.88769
-112.400787,51,714.907143
-15.71518,1600,715.918636
-13.571331,1600,716.919646
-14.411586,1600,717.937784
-8.513819,1600,718.880385
-8.188831,1600,719.61169
-122.477634,117,719.654474
-118.992404,76,719.682798
-10.904275,1600,720.747007
-14.812387,1600,721.741848
-9.771635,1600,722.73121
-14.242899,1600,723.691386
-14.232813,1600,724.419667
-8.539939,1600,725.459893
-14.748088,1600,726.44741
-20.347352,1600,727.425806
-9.997147,1600,728.132763
-7.865363,1600,729.162296
-7.397099,1600,730.226732
-9.537476,1600,731.282438
-9.129174,1600,732.260982
-5.328528,1600,733.002195
-9.250446,1600,734.052475
-9.900287,1600,735.044899
-4.84831,1600,736.100898
-8.637621,1600,736.773407
-120.19577,93,737.126263
-7.876549,1600,737.818535
-9.308893,1600,738.826769
-3.685773,1600,739.812179
-119.730485,90,739.850904
-4.734048,1600,740.807234
-6.985396,1600,741.468658
-7.144233,1600,742.468894
-18.686364,1600,743.50267
-6.682662,1600,744.507419
-4.036875,1600,745.475509
-5.876112,1600,746.149263
-4.609618,1600,747.168317
-10.96705,1600,748.173638
-11.264792,1600,749.149789
-25.532233,1600,749.793043
-16.183103,1600,750.799389
-5.47522,1600,751.863808
-18.949774,1600,752.88737
-20.629668,1600,754.004991
-7.815451,1600,754.685194
-5.904464,1600,755.705739
-9.705443,1600,756.737186
-10.232986,1600,757.761957
-6.64252,1600,758.761576
-30.916648,1600,759.472531
-10.2606,1600,760.526501
-9.384578,1600,761.551587
-8.782671,1600,762.593792
-28.794619,1600,763.290946
-25.51305,1600,764.397384
-27.815162,1600,765.462981
-6.586439,1600,766.531832
-8.489258,1600,767.688644
-4.598907,1600,768.432559
-23.446585,1600,769.510766
-22.839484,1600,770.599168
-24.459622,1600,771.619961
-17.724463,1600,772.313411
-19.172258,1600,773.379822
-4.414351,1600,774.461997
-18.026604,1600,775.491447
-4.512331,1600,776.513057
-7.321774,1600,777.266157
-18.866167,1600,778.33475
-10.582095,1600,779.397672
-11.076053,1600,780.454488
-9.472772,1600,781.132715
