#{"t_start": 1727524353.952538, "env_id": "BipedalWalker-v3"}
r,l,t
-70.527122,1600,346.504913
-99.880991,449,346.707204
-107.165393,714,346.983135
-67.1825,1600,348.049858
-44.106195,1600,349.171313
-61.812807,1600,350.293093
-48.444266,1600,351.331921
-98.08231,131,351.398451
-68.275655,1600,352.079255
-70.630956,1600,353.11772
-68.228191,1600,354.132155
-93.975015,110,354.179371
-97.424861,91,354.21812
-50.004205,1600,355.221696
-75.239614,1600,356.195589
-90.716221,150,356.269381
-101.800602,427,356.465895
-91.215673,134,356.522736
-96.181762,169,356.592459
-22.419375,1600,357.587902
-93.915338,176,357.663839
-37.819414,1600,358.677356
-49.117281,1600,359.299039
-27.259677,1600,360.334913
-45.529843,1600,361.329727
-52.841596,1600,362.309299
-93.23743,113,362.358527
-50.867841,1600,363.312284
-36.024204,1600,363.950123
-44.396564,1600,364.955921
-68.896846,1600,365.964912
-56.484569,1600,366.972564
-73.202298,1600,367.935389
-53.687247,1600,368.581541
-92.768948,103,368.619696
-92.578155,83,368.650577
-105.452674,524,369.220646
-69.429834,1600,369.844216
-97.06003,81,370.207249
-74.105877,1600,370.873407
-53.327272,1600,371.854579
-75.129582,1600,372.83794
-113.569466,643,373.091527
-104.459522,495,373.271432
-43.054621,1600,374.268162
-27.573336,1600,375.279372
-121.951042,1221,376.079369
-45.45225,1600,376.747033
-37.003675,1600,377.718658
-48.743253,1600,378.692494
-51.735001,1600,379.645328
-40.953158,1600,380.261705
-73.164222,1600,381.248899
-72.628462,1600,382.260339
-65.896272,1600,383.231306
-70.638666,1600,384.202705
-63.120378,1600,384.832748
-26.810888,1600,385.854188
-28.755497,1600,386.853624
-111.261473,595,387.081144
-40.986778,1600,388.073453
-66.606815,1600,389.017507
-63.498208,1600,389.94003
-100.185579,61,389.970732
-98.294022,68,390.004008
-100.043845,62,390.034664
-96.107403,95,390.08065
-43.980163,1600,391.017409
-67.145309,1600,391.667768
-71.117767,1600,392.628902
-38.304186,1600,393.587517
-25.482735,1600,394.566712
-112.016412,963,394.968474
-26.833584,1600,395.962934
-53.384514,1600,396.88656
-109.005702,710,397.191247
-63.227075,1600,398.199933
-23.770029,1600,399.177065
-31.179655,1600,399.847734
-58.911693,1600,400.819194
-96.978461,69,400.845564
-96.988774,297,400.954281
-18.54074,1600,401.965914
-55.195005,1600,402.903891
-47.108908,1600,403.831008
-65.649307,1600,404.444523
-30.914432,1600,405.455084
-90.083821,175,405.517886
-39.238069,1600,406.536748
-100.372831,62,406.560778
-99.075824,62,406.584193
-92.395733,139,406.634569
-63.907773,1600,407.577022
-91.985916,178,407.647148
-99.623882,56,407.670009
-91.895929,99,407.707699
-96.490506,68,407.733198
-49.784899,1600,408.723267
-118.952321,118,408.768935
-38.505964,1600,409.731593
-94.738212,157,409.797645
-57.624474,1600,410.719724
-28.631899,1600,411.357598
-37.963518,1600,412.376739
-23.586521,1600,413.378087
-35.449632,1600,414.430001
-99.579769,56,414.458545
-31.787093,1600,415.494651
-47.626153,1600,416.138153
-56.448857,1600,417.131809
-43.964629,1600,418.124021
-37.89861,1600,419.086205
-103.544574,472,419.284959
-30.046647,1600,420.266973
-34.976928,1600,421.213262
-24.979502,1600,421.888764
-59.727664,1600,422.83967
-97.769399,351,422.969076
-60.797787,1600,423.927542
-100.816809,411,424.080635
-31.369331,1600,425.072239
-31.458861,1600,426.040361
-57.543025,1600,426.949406
-99.623579,393,427.137059
-60.083572,1600,428.050996
-55.943624,1600,428.685056
-97.669373,270,428.776348
-32.269096,1600,429.786875
-31.583964,1600,430.843049
-45.685431,1600,431.801829
-62.795746,1600,432.72636
-34.952563,1600,433.377794
-95.991454,155,433.430695
-58.664866,1600,434.385272
-65.18558,1600,435.331013
-60.619515,1600,436.260064
-68.793642,1600,437.161478
-99.723729,198,437.254656
-96.288076,101,437.302816
-95.644963,63,437.333504
-95.859326,65,437.361845
-98.129432,201,437.444901
-98.175207,115,437.49014
-98.051218,61,437.51473
-66.712736,1600,438.448533
-97.586216,290,438.569447
-63.82179,1600,439.484475
-96.330252,75,439.521152
-69.497049,1600,440.109244
-66.818552,1600,441.062873
-48.238758,1600,442.024131
-32.903651,1600,442.968652
-30.650815,1600,443.891664
-39.161689,1600,444.509576
-65.785171,1600,445.455252
-62.790874,1600,446.447816
-66.474182,1600,447.372137
-66.703249,1600,448.279731
-66.198173,1600,448.91207
-97.450855,252,448.998118
-55.991388,1600,449.959065
-30.118105,1600,450.952039
-56.527379,1600,451.862999
-96.416671,229,451.958798
-57.750238,1600,452.868706
-55.304659,1600,453.467007
-33.486145,1600,454.458297
-48.159361,1600,455.452395
-29.811829,1600,456.380087
-111.717752,663,456.634425
-52.345778,1600,457.58962
-48.520345,1600,458.556866
-107.890396,460,458.748663
-51.398489,1600,459.689648
-31.958478,1600,460.300189
-26.427967,1600,461.303801
-31.609691,1600,462.308171
-50.457197,1600,463.232303
-42.855059,1600,464.187845
-26.634725,1600,464.849739
-103.483626,553,465.382219
-47.494393,1600,465.992248
-49.763417,1600,466.960447
-48.288544,1600,467.916667
-49.661131,1600,468.857471
-43.841282,1600,469.762491
-36.753814,1600,470.453402
-47.945653,1600,471.39957
-28.973876,1600,472.392607
-40.60593,1600,473.352555
-39.7636,1600,474.005792
-42.622478,1600,474.984913
-25.107693,1600,475.964387
-25.145141,1600,476.925115
-39.018296,1600,477.889643
-46.543608,1600,478.52513
-27.518651,1600,479.521476
-25.080422,1600,480.496224
-35.073874,1600,481.447046
-23.560126,1600,482.07083
-37.768453,1600,483.053687
-35.77145,1600,484.051269
-27.042205,1600,485.013531
-35.691847,1600,485.963383
-38.374207,1600,486.625754
-32.29748,1600,487.627831
-40.163041,1600,488.548902
-42.105487,1600,489.512855
-32.001387,1600,490.455671
-42.606727,1600,491.083495
-34.905036,1600,492.087308
-33.32869,1600,493.04813
-31.776682,1600,494.007925
-31.182189,1600,494.655179
-39.164767,1600,495.600975
-38.714912,1600,496.536958
-101.186314,142,496.59171
-97.195298,88,496.625468
-98.001894,186,496.691753
-27.100966,1600,497.670094
-38.122257,1600,498.580004
-101.717566,349,498.723444
-37.287234,1600,499.676169
-37.578026,1600,500.273162
-37.408989,1600,501.25383
-32.674391,1600,502.223459
-33.938327,1600,503.172634
-40.689187,1600,504.060512
-30.581467,1600,504.71189
-119.919542,943,505.40227
-30.835809,1600,506.336195
-30.05154,1600,506.982781
-31.762447,1600,507.96245
